TrueCount,H17-2deck-30pen,H17-2deck-35pen,H17-2deck-40pen,H17-2deck-45pen,H17-2deck-50pen,H17-2deck-55pen,H17-2deck-60pen,H17-2deck-65pen,H17-2deck-70pen,H17-2deck-75pen,H17-2deck-80pen,H17-6deck-30pen,H17-6deck-35pen,H17-6deck-40pen,H17-6deck-45pen,H17-6deck-50pen,H17-6deck-55pen,H17-6deck-60pen,H17-6deck-65pen,H17-6deck-70pen,H17-6deck-75pen,H17-6deck-80pen,H17-8deck-30pen,H17-8deck-35pen,H17-8deck-40pen,H17-8deck-45pen,H17-8deck-50pen,H17-8deck-55pen,H17-8deck-60pen,H17-8deck-65pen,H17-8deck-70pen,H17-8deck-75pen,H17-8deck-80pen,S17-2deck-30pen,S17-2deck-35pen,S17-2deck-40pen,S17-2deck-45pen,S17-2deck-50pen,S17-2deck-55pen,S17-2deck-60pen,S17-2deck-65pen,S17-2deck-70pen,S17-2deck-75pen,S17-2deck-80pen,S17-6deck-30pen,S17-6deck-35pen,S17-6deck-40pen,S17-6deck-45pen,S17-6deck-50pen,S17-6deck-55pen,S17-6deck-60pen,S17-6deck-65pen,S17-6deck-70pen,S17-6deck-75pen,S17-6deck-80pen,S17-8deck-30pen,S17-8deck-35pen,S17-8deck-40pen,S17-8deck-45pen,S17-8deck-50pen,S17-8deck-55pen,S17-8deck-60pen,S17-8deck-65pen,S17-8deck-70pen,S17-8deck-75pen,S17-8deck-80pen
-10.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.5,0,0,0,0,0,3,5,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.0,0,0,1,5,3,3,4,4,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,2,9,3,3,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8.5,1,7,3,5,14,14,11,20,10,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,12,7,12,12,8,18,19,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8.0,2,15,36,40,20,38,37,41,40,30,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,26,30,37,60,52,35,41,35,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.5,33,41,55,88,80,125,85,107,91,105,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,43,66,93,95,103,108,102,103,103,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.0,78,143,225,279,295,308,344,329,321,294,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,140,216,261,270,324,297,268,304,306,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6.5,292,425,581,721,758,827,798,811,800,801,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,417,595,667,792,771,804,812,835,822,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6.0,746,1288,1612,1934,2030,2089,2075,2071,2065,2001,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,1245,1681,1886,2019,2085,2083,2043,2106,2054,2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.5,2990,4128,4929,5497,5750,5829,5818,5779,5805,5877,5999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2942,4108,5057,5525,5788,5784,5999,5663,5925,5903,5836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.0,8479,11448,13008,14367,14753,15013,15034,14982,14927,14731,15349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8452,11639,13328,14165,14978,15099,14954,14730,14986,14953,15015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.5,22587,27873,32590,34813,36206,36720,36193,36311,36183,35571,36604,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22217,28275,32805,35231,36339,36823,36608,36452,36513,36054,36831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.0,72532,84394,90799,95509,98601,97770,98902,98226,98470,98138,98715,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72891,85163,91801,96383,98215,99047,98334,98903,98318,98165,99321,0,0,0,0,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
-3.5,192167,226602,239995,246465,248915,250648,251600,250729,251975,251190,249499,1,1,2,0,3,4,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,193798,227883,240245,246163,250805,250518,252798,250232,252776,251721,251328,5,9,1,3,8,9,4,16,3,1,16,0,0,0,0,0,0,0,0,0,0,0
-3.0,499071,537413,571677,581697,590605,591757,592296,591994,592507,592670,593679,29,35,31,32,32,37,25,37,28,35,32,0,0,0,0,0,0,0,0,1,0,0,499457,538167,571895,583366,590749,592278,592928,592455,594092,592944,594976,82,101,64,64,103,110,105,100,109,77,105,2,1,0,0,2,1,1,0,0,3,0
-2.5,1316430,1399618,1450741,1472698,1484835,1487317,1489031,1484690,1488730,1487673,1487382,456,417,474,440,423,477,397,453,475,473,435,3,6,2,5,7,19,4,3,6,14,18,1316423,1404041,1454335,1473585,1486042,1488733,1492412,1489745,1490662,1493060,1491161,1317,1299,1336,1312,1462,1387,1322,1245,1374,1233,1457,47,28,19,44,28,42,23,37,16,48,21
-2.0,3294448,3492061,3563532,3604744,3622838,3630070,3629291,3625165,3628631,3630336,3631069,6148,6270,6287,5962,6120,6170,5978,6176,6254,6333,6049,297,313,332,355,355,339,345,355,325,374,386,3293447,3498699,3565192,3606189,3626444,3631294,3635643,3638878,3633793,3634105,3632925,18446,18528,18486,18451,18548,18485,18463,18219,18514,18367,18475,989,1061,1077,977,1018,1081,997,1080,1004,1009,1033
-1.5,9324295,9518284,9619045,9722364,9755820,9763790,9760597,9759830,9763006,9768185,9776912,83732,82875,82942,82522,82526,82769,82746,83724,83002,82705,83270,10628,10460,10985,11170,11015,11026,10907,10853,10904,10947,11001,9333292,9539653,9645598,9742657,9775763,9787251,9792671,9777128,9790578,9784007,9782111,248067,249514,250664,249446,248620,248138,249874,249596,249810,249780,250801,32688,33012,32529,33538,33049,33475,33208,33059,33031,33112,33113
-1.0,23346592,23783474,24158837,24253272,24308007,24316200,24322691,24316019,24320754,24327785,24333969,1085107,1085491,1082219,1084490,1083237,1084424,1083961,1083334,1085705,1086058,1086448,328409,328629,329538,329986,328479,329288,330496,329394,328662,329302,329674,23372129,23811035,24181477,24290495,24333767,24346973,24362507,24346662,24359479,24358141,24356802,3254269,3257523,3262148,3255965,3259602,3250367,3257761,3260169,3254685,3260384,3259642,986584,988981,988642,989680,988303,991874,991296,990737,992641,990178,989628
-0.5,47275248,48130077,48439652,48585899,48656867,48697984,48688816,48700850,48706601,48704598,48683073,16240104,16236059,16236156,16235504,16232498,16238131,16243734,16243190,16242295,16243619,16234783,11705496,11703192,11710964,11707202,11710581,11719020,11711982,11707054,11706294,11709077,11716189,47366730,48239334,48532701,48694123,48770939,48796158,48806051,48800632,48811454,48803259,48804931,48778720,48777203,48797699,48792766,48782129,48792189,48799477,48802337,48805022,48810093,48816920,35178616,35181264,35181063,35194929,35186349,35165185,35166110,35175928,35197117,35184757,35174400
0.0,186925201,187716895,188156452,188387989,188478648,188535015,188530357,188530213,188537760,188536592,188539077,114173223,114198467,114191277,114189620,114189530,114188171,114204218,114198226,114204254,114209617,114184583,139074861,139087592,139101430,139082630,139085833,139095044,139094223,139075946,139074252,139076142,139057065,187066865,187864178,188301734,188521454,188628923,188669336,188660963,188667198,188686445,188674511,188686436,343244181,343309097,343331517,343316445,343300382,343283268,343312330,343349464,343313461,343355257,343296514,418264090,418259318,418208479,418284434,418233931,418190361,418191786,418223855,418263705,418224551,418214170
0.5,81700274,83636668,84219532,84519735,84671349,84753537,84762088,84749347,84765013,84783979,84778976,109461527,109533451,109564171,109587951,109554061,109561621,109553441,109552483,109585404,109574757,109594019,148974470,148974906,148995404,148962132,149008483,149001427,148958680,148967619,148997078,148961459,148989875,82133203,84034224,84636350,84923586,85108477,85153148,85185547,85179673,85201521,85177422,85189295,329944591,330144484,330175139,330175863,330127385,330127003,330178858,330155462,330152613,330226770,330171663,448766411,448840338,448798469,448804278,448819942,448855212,448735647,448805979,448789102,448818274,448797109
1.0,84003805,86284385,88128160,88568934,88769140,88870670,88905711,88892715,88897367,88874100,88915292,98224003,98401619,98454120,98458615,98444956,98473892,98451686,98451888,98456502,98446273,98460524,132241220,132324378,132320796,132338437,132322847,132321131,132334777,132339318,132308473,132328858,132308692,84474813,86742369,88610893,89049375,89258867,89353941,89389153,89394451,89372454,89388294,89398878,295859507,296392008,296530030,296526859,296558806,296504454,296510811,296507104,296502669,296488731,296519341,398367848,398562849,398566536,398554389,398574822,398591692,398578916,398579741,398535985,398558055,398543564
1.5,77876941,80100380,81466306,82602971,82894985,83016758,83068245,83033658,83048003,83056307,83052027,91304271,91752081,91843832,91848234,91856971,91839843,91855191,91859495,91847300,91864602,91876124,123699123,123932676,123950800,123954654,123946934,123949702,123960319,123951658,123930350,123951346,123966977,78238595,80464149,81848711,82964107,83244197,83402644,83418109,83443283,83416972,83428516,83441643,274935711,276354763,276562122,276630556,276653526,276638856,276595127,276671290,276644945,276613842,276642068,372587371,373239915,373335807,373366965,373353943,373342070,373339122,373340039,373325362,373332321,373353903
2.0,72782674,77582892,79317112,80624771,81038139,81232280,81277975,81260900,81266512,81287172,81277265,84313700,85377553,85574427,85609750,85609402,85600525,85614258,85603672,85607105,85597756,85612986,114498136,115161253,115237597,115280045,115268380,115262431,115262200,115258187,115267880,115313232,115264170,73108894,77903654,79671168,80981794,81399102,81603924,81631982,81625159,81615243,81622660,81632523,253978449,257147407,257759380,257866238,257884039,257886573,257836576,257872133,257857725,257875861,257879137,344852733,346856788,347132673,347141117,347148792,347170817,347156115,347127027,347165199,347177742,347141518
2.5,61888488,67047101,69869313,71228875,71974308,72245883,72293714,72320988,72323551,72314015,72302975,77357056,79593273,80043371,80144815,80153723,80148786,80142190,80144260,80145030,80145615,80132758,106054353,107787213,108029557,108055401,108072033,108063291,108039583,108037971,108058976,108053886,108037837,62033703,67210099,70035136,71388639,72136418,72392439,72471233,72465202,72466120,72475386,72467412,233001904,239756381,241109516,241343453,241339745,241381910,241377869,241369410,241385869,241415284,241351094,319466724,324664526,325416299,325438650,325454003,325449120,325425823,325444913,325422061,325439017,325432580
3.0,56052567,60591829,65269224,66983058,67994948,68353860,68430492,68428369,68442831,68448919,68437430,69319811,73443515,74378740,74551867,74583950,74565476,74550594,74566482,74554609,74568179,74563172,95500937,99396733,100013927,100034491,100055038,100084878,100070870,100076409,100069528,100080546,100067568,56384646,60958325,65621402,67313260,68339287,68697026,68794507,68804547,68796675,68788406,68796205,208734297,221259487,224042933,224555985,224592195,224591363,224603553,224602549,224614162,224576023,224601410,287646962,299437802,301223321,301388585,301412764,301384364,301420408,301412498,301414704,301410200,301423675
3.5,49540296,58427397,62775887,64899843,66013151,66547429,66667924,66697897,66695242,66692178,66704377,62054528,69128414,70926134,71271324,71318643,71319874,71309843,71323923,71315245,71318878,71313661,86627130,94214507,95664532,95799964,95824592,95813498,95803241,95830929,95812681,95806135,95827634,49788669,58683979,63041907,65170736,66270712,66811333,66935218,66948458,66964585,66941233,66961971,186939637,208223857,213660262,214675802,214823764,214786266,214823352,214794597,214816553,214782553,214796610,260894076,283769556,288075443,288515454,288555926,288547413,288603733,288556408,288596818,288607837,288576550
4.0,44907854,53469875,57857748,61172290,62584514,63313637,63471710,63531620,63541876,63518719,63528331,51771444,61941288,65188954,65927023,66000963,66012336,65997082,66014568,66009818,66005038,66001841,72543123,85670923,88730462,89101980,89146249,89136654,89138406,89142810,89151134,89130019,89158936,45081143,53671746,58078170,61411749,62820268,63562666,63715901,63752830,63764216,63776500,63769600,155890507,186544478,196269696,198552369,198816688,198781691,198813653,198795708,198792111,198800259,198798028,218472687,258070487,267227995,268407816,268475981,268489597,268514209,268499340,268492624,268487524,268505273
4.5,34403295,43013949,50507627,54494322,56667968,57469941,57695203,57745935,57742479,57736884,57739402,42320819,56277578,61214507,62505457,62710012,62713004,62721819,62701499,62706393,62712943,62708995,58183535,77261867,83008052,83883363,83952350,83950439,83959879,83950682,83953231,83956176,83938752,34689985,43326396,50820176,54824583,56996631,57793572,58004904,58059815,58063658,58077564,58057073,127500305,169472013,184342287,188264876,188848065,188902846,188888563,188886150,188898211,188874104,188889824,175190903,232724317,250002315,252619165,252863012,252862744,252913975,252875043,252864989,252848629,252878010
5.0,30106506,40515469,47491081,52165604,54477571,55682857,55946863,56035983,56020999,56026452,56023998,31924754,48997570,56509152,58752467,59100253,59145944,59132127,59144060,59131068,59136774,59155799,42899566,67557596,77093917,78936286,79087479,79093963,79094823,79112611,79095552,79097454,79095072,30108078,40513849,47510110,52218176,54517712,55710473,55988362,56069014,56074894,56065993,56067453,96176334,147578936,170141281,176961268,177998038,178120827,178088670,178095678,178101212,178101688,178133069,129234797,203459951,232227199,237713053,238238285,238274357,238272388,238230907,238281971,238265322,238278498
5.5,25873121,36373820,43981874,49417425,52191730,53736326,54055587,54142557,54142132,54167128,54144804,22107482,40494297,51066628,54838870,55467855,55533468,55549035,55543970,55540369,55537273,55541904,29283656,57619973,71914846,75254819,75608527,75626809,75619861,75630112,75626626,75620927,75642441,26136290,36686258,44337939,49796599,52563678,54120033,54425244,54528760,54535652,54548742,54533308,66608096,121948548,153800945,165185585,167084205,167296461,167267169,167294412,167302759,167294064,167284781,88213115,173536741,216560148,226642429,227731624,227785792,227792319,227813086,227774323,227784943,227791811
6.0,18261636,29181049,38966629,44184666,47470207,49429612,49979817,50074705,50092432,50090366,50077630,14925367,33539899,46338096,51663148,52795415,52926721,52933756,52930371,52928252,52923651,52923598,17452884,45102753,64196142,69936784,70709347,70751637,70748337,70753904,70751363,70743341,70740562,18259381,29213292,39050882,44310781,47594873,49554618,50123968,50201356,50221655,50231792,50233308,44946332,101008164,139568472,155594632,158965824,159371929,159397028,159379069,159420715,159412555,159424924,52587853,135808365,193369552,210677957,212960828,213081106,213105232,213102871,213091941,213081826,213060663
6.5,14306740,23157949,32027117,40246541,44800137,46775076,47186661,47349769,47377841,47386714,47386187,8787780,25560852,40331004,48020437,49905503,50149893,50169310,50168213,50156218,50164894,50164642,9343881,33328965,56574378,65724780,67218937,67311677,67314246,67305544,67315702,67328098,67308999,14388955,23257524,32157234,40426907,44988332,46959100,47379831,47542854,47585211,47566738,47584266,26481228,76995042,121460954,144658034,150313711,151054385,151105369,151101436,151111286,151115440,151095037,28155002,100367627,170443228,197990290,202408364,202746090,202750601,202736163,202754006,202762775,202734901
7.0,11614273,21055348,29975707,37830660,42325011,45155317,45909388,46122932,46147987,46147690,46159359,4903818,18557465,34272383,44371936,47186803,47661407,47681337,47687568,47693412,47689042,47703037,4396799,23042074,48144320,60982981,63629802,63878116,63880252,63882010,63884296,63884218,63885530,11678294,21164335,30113617,37992707,42497227,45354992,46082347,46301804,46339093,46351692,46328534,14784783,55898606,103233056,133643119,142185335,143556225,143627517,143629288,143646327,143643373,143643609,13249233,69400769,145022109,183659557,191667276,192370151,192420550,192391629,192388588,192399472,192396137
7.5,8124829,16826050,25616870,32460183,37497347,40928644,42024822,42301011,42328427,42336041,42320174,2342075,12679751,28406717,40514983,44498244,45309793,45347867,45344854,45363577,45343242,45362590,1848309,14472154,39090285,55981373,60207565,60703751,60712874,60709624,60715558,60701212,60710308,8134500,16899114,25715566,32587894,37635099,41083064,42184761,42458812,42476837,42492575,42493208,7053370,38186839,85561571,122025283,134038966,136445366,136628599,136601573,136614734,136613326,136612534,5582614,43575779,117749975,168564786,181357630,182829034,182850896,182854341,182839523,182864692,182860665
8.0,6038214,12609600,21031271,29610847,36494479,40009046,41144041,41550524,41608009,41622671,41626332,1060334,8062825,21792602,35996468,41767170,42986845,43101297,43102414,43092483,43097707,43092800,630872,8191424,29881212,50017232,56812495,57714328,57753858,57754168,57764457,57756735,57767446,6058486,12665056,21147267,29728591,36660340,40213725,41305200,41734695,41802136,41803705,41805845,3196869,24285003,65638270,108421042,125789294,129497696,129790116,129800035,129790879,129788851,129812013,1906630,24684818,90024036,150647514,171106001,173851805,173966050,173957236,173955925,173956737,173970345
8.5,3468472,9719120,19083157,26322632,32452324,37015057,38725399,39031013,39117741,39133242,39124598,424928,4738101,16470647,30791884,38239612,40181186,40368265,40387274,40382932,40374510,40375468,205549,4307036,21821611,44309012,53963372,55494273,55578165,55568390,55563365,55569101,55567863,3470683,9756768,19165750,26432525,32586878,37189603,38883802,39207629,39286315,39291858,39288385,1283108,14283853,49634910,92763546,115163732,121055255,121584496,121616971,121609522,121609763,121619755,619195,12985232,65740828,133457303,162532249,167161145,167365804,167375180,167384337,167373347,167370778
9.0,2787931,8068731,15433606,24001534,30516294,35764583,37569926,38126443,38198169,38206656,38220978,144027,2574692,12065932,27560816,36745702,39617193,39903888,39919509,39935806,39917786,39922819,54017,1982481,14559630,36711639,49045493,51729955,51916725,51895642,51911206,51910593,51924208,2788386,8103001,15483907,24101857,30643029,35908081,37719512,38290635,38375955,38386018,38379605,433436,7751601,36356657,83030582,110675711,119327974,120215565,120241254,120233401,120241097,120258981,161613,5976475,43874441,110583577,147720180,155867488,156325420,156329379,156346664,156342925,156339591
